,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
N_033,400.49746,522.8066258,198.0368,3.643251748,1315.864,0
N_070,290.6995431,387.8969947,121.4224,0.0,1317.017,0
N_055,283.9925112,363.3305621,45.68827,0.0,1317.128,0
CP_012,332.218508,351.2228356,96.02187,0.0,1319.586,0
N_065,339.3766327,330.4332818,56.56277,0.0,1322.125,0
N_100,226.4267079,260.9318665,47.79286,1.500224284,1337.45,0
CP_55,243.137768,247.0823194,51.16959785,0.0,1337.969934,0
N_088,359.5236955,356.7445243,104.9769,8.33751367,1341.834,0
CP_017,158.3568318,286.9301499,58.57034,3.986769553,1371.507,0
CP_005,205.6000163,219.9354303,83.749,0.0,1372.993,0
CP_014,191.990265,344.5707635,94.93636,0.0,1374.636,0
CP_033,330.6805909,318.5407637,79.06452,0.103759206,1382.28,0
CP_009,202.5014144,295.2173439,207.7819,0.122802556,1384.722,0
CP_82,402.8179343,571.4141482,97.54262605,0.0,1385.137858,0
CP_78,199.440721,329.7445526,57.80612134,0.0,1386.194631,0
N_087,384.0499241,414.776165,178.01,0.0,1387.118,0
CP_010,314.7656957,202.6790424,91.38359,0.0,1392.248,0
N_022,425.4574584,494.0267848,273.1852,6.7087168,1392.839,0
CP_92,333.796793,367.3150817,67.28859473,0.0,1400.963663,0
N_019,572.1464813,470.0557572,161.2783,0.187897038,1408.414,0
N_056,500.1413039,319.4211004,117.1335,12.27112493,1424.938,0
N_051,199.5630177,283.3541142,62.8934,0.0,1425.851,0
CP_47,463.0397768,309.0237923,158.6917228,0.0,1427.658749,0
N_043,286.9705718,379.4134648,116.6967,0.0,1436.244,0
N_068,375.7314899,614.282535,36.12056,0.0,1451.037,0
CP_65,351.0045315,428.1743443,90.16268952,11.22112075,1462.38764,0
N_090,293.4673144,375.4779913,33.2663,0.0,1469.493,0
CP_69,388.5644441,369.6994088,103.6540399,0.0,1478.244814,0
CP_89,493.8529663,378.4527691,137.4459895,0.0,1485.913623,0
N_042,474.5201198,436.47728,168.2369,1.669733184,1487.055,0
CP_013,273.5107208,455.1824709,144.8916,12.705877,1487.479,0
N_082,330.3514964,442.1171225,157.6055,3.499808576,1512.184,0
CP_020,357.0814633,532.6465161,105.9799,0.0,1515.307,0
N_012,522.582129,437.955023,103.444,1.429951099,1535.605,0
N_064,380.0267495,364.6708077,103.1604,2.493699962,1536.185,0
CP_007,338.463337,311.2124965,91.75766,0.394939716,1536.447,0
CP_95,394.1392845,458.2776429,216.4768208,3.550093636,1544.685186,0
N_059,353.5439198,291.7784623,109.1125,0.0,1546.182,0
CP_043,256.5577337,325.64561,70.22982,0.951623641,1548.101,0
CP_90,717.2712761,412.7479332,67.08413316,0.0,1548.644351,0
N_058,355.7789084,379.2335958,98.86596,0.0,1561.963,0
N_010,333.8005927,241.6541213,19.92667,0.0,1562.343,0
N_106,200.2183152,339.518162,139.7609,0.0,1562.959,0
CP_023,271.7346649,218.590985,70.24547,1.949715718,1573.922,0
CP_037,146.87578,252.7284874,71.25494,0.0,1581.86,0
CP_016,709.7860099,387.1084619,94.34527,0.209191279,1583.264,0
CP_80,439.0035095,549.0066018,433.6602886,0.0,1587.758629,0
CP_48,449.1103789,487.4523939,257.8545935,8.086349125,1596.645092,0
CP_036,70.10458999,310.4940946,58.63686,0.0,1598.558,0
N_009,327.9464852,401.1679279,103.5666,1.353526966,1605.545,0
N_080,339.5554901,362.1588867,211.4528,0.0,1606.506,0
N_069,497.0195619,494.1983859,175.1816,3.000298283,1608.384,0
CP_041,248.7266189,480.3068014,123.3304,0.0,1630.771,0
N_081,246.9593135,514.6487883,86.63855,0.0,1632.05,0
N_084,443.3952845,332.1806257,164.627,0.056282722,1639.122,0
CP_83,532.4982844,484.830996,70.47582974,3.587860423,1640.677316,0
CP_52,424.0687566,263.5166553,129.8607437,0.825036491,1664.26361,0
N_014,376.3093346,332.9485882,151.4366,0.0,1681.818,0
CP_61,645.0910258,464.4150961,111.0881827,0.0,1699.225019,0
CP_100,369.8636283,468.5144175,87.43348755,0.0,1702.41759,0
N_104,449.7129163,299.1003762,151.3852,0.0,1706.717,0
CP_93,346.0222549,393.0374163,79.44745636,4.433191397,1709.22861,0
N_091,298.7543038,300.4809375,130.4308,1.259975976,1720.194,0
N_109,505.4278686,383.4212581,119.6471,0.0,1726.969,0
CP_73,344.168206,604.5652651,293.5690875,0.134572124,1742.237998,0
CP_015,223.693186,341.0326969,48.3242,0.0,1762.115,0
CP_85,496.9194133,553.5573416,258.0992237,0.0,1779.2058,0
N_074,510.0601282,495.0583598,106.7434,0.0,1788.143,0
N_001,363.0605472,293.0273625,102.2697,0.0,1795.783,0
